date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2026-05-29,06:13:10,DEL51-P7,253,103.41.145.125,POST,d2rai8dpod7e2h.cloudfront.net,/api/waitlist,301,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,FobroxOdvTfPv2fFKMnrcP5fZhDc1egzpBJyPi91hwHvpzQ96r645A\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,287,0.065,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,54902,0.065,Miss,-,0,-,-
2026-05-29,06:13:10,DEL51-P7,836,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/api/waitlist/,404,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,mDmw6GryQAKORSYWDGt9jQMIEhmv8q1_07RIJmO8Pi1zdeR9rVISEA\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,37,0.070,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,54902,0.069,Error,text/html,-,-,-
2026-05-29,06:13:51,DEL51-P7,359,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/assets/index-Dp_4TMyR.css,304,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Hit,ehqCvNDNkDuYFHZoTfOvEj-MTR0cOmyZjxwwfxiZorYBwBXahMV5fw\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,99,0.024,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/2.0,-,-,54902,0.022,Hit,-,-,-,-
2026-05-29,06:14:06,DEL51-P7,254,103.41.145.125,POST,d2rai8dpod7e2h.cloudfront.net,/api/waitlist,301,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Linux;%20Android%206.0;%20Nexus%205%20Build/MRA58N)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Mobile%20Safari/537.36,-,-,Miss,LWtfMksi-CSVl-i24FZLiw43Jxq7FGwfPJaFwhSVVs1LkcHfjPfrDA\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,381,0.064,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,54902,0.064,Miss,-,0,-,-
2026-05-29,06:14:06,DEL51-P7,835,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/api/waitlist/,404,https://main.d2rai8dpod7e2h.amplifyapp.com/waitlist,Mozilla/5.0%20\(Linux;%20Android%206.0;%20Nexus%205%20Build/MRA58N)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Mobile%20Safari/537.36,-,-,Error,r6bovFxH9NwjK1Mdx3Z3_bydncRNKa1qi9ZYp1SfDnVlaG6NIMdEnA\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,37,0.066,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,54902,0.065,Error,text/html,-,-,-
2026-05-29,06:06:41,IAD12-P3,217,3.93.200.169,GET,d2rai8dpod7e2h.cloudfront.net,/favicon.png,404,-,okhttp/5.3.0,-,-,Error,kznNb1lvPhCc1r-7HnUi5T6zppFTA7x3-M8e0InfWlHcU2vLQhCweA\=\=,d2rai8dpod7e2h.amplifyapp.com,https,25,0.201,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,3228,0.201,Error,-,0,-,-
2026-05-29,06:06:40,IAD12-P3,218,3.93.200.169,GET,d2rai8dpod7e2h.cloudfront.net,/,404,-,okhttp/5.3.0,-,-,Error,yPCvk-0OhuAXpoGXDYC_-Q2eogka0posFfmpPHlu9U42Q8WP5CCX_Q\=\=,d2rai8dpod7e2h.amplifyapp.com,https,51,0.205,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,3228,0.205,Error,-,0,-,-
2026-05-29,06:06:40,IAD12-P3,218,3.93.200.169,GET,d2rai8dpod7e2h.cloudfront.net,/favicon.ico,404,-,okhttp/5.3.0,-,-,Error,HLnG7cdyp3CDiHN4Z-V3ImVLSovrbTnOSrWvAitjWCPhwGAS1Mwb5A\=\=,d2rai8dpod7e2h.amplifyapp.com,https,25,0.199,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,3228,0.199,Error,-,0,-,-
2026-05-29,06:10:25,DEL51-P7,1061,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/vite.svg,404,https://main.d2rai8dpod7e2h.amplifyapp.com/,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,CS46kkDgQeILfqmU3at0K6iOzAog3rnwSEaJnF1jHyDAjmUOWD4AXA\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,452,0.177,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,64207,0.176,Error,text/html,-,-,-
2026-05-29,06:10:25,DEL51-P7,882,103.41.145.125,GET,d2rai8dpod7e2h.cloudfront.net,/,200,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Miss,0Th300DpmLP8EXF39nFxLZfwdGdRosSCOEIofih4BIT-_1ozCBRVAg\=\=,main.d2rai8dpod7e2h.amplifyapp.com,https,454,0.063,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,54902,0.062,Miss,text/html,-,-,-
